,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
3963,-0.554543296265088,13.1713483896959,12.3258645191272,-1.03087742935234,1,0,1,0,0,1,0,-11.956673187491416
3964,-1.35832643127196,12.0591485653384,5.62123177340817,-1.13068316719033,0,1,0,1,0,1,0,-4.971535737439645
3965,-1.52023367963906,13.6066186843523,18.5676853268172,-2.7939627212709,0,1,0,1,0,1,0,-6.64564533572991
3966,-0.236632590496924,10.1885549293867,6.05752190158023,-0.22183946400142,0,1,0,1,0,1,0,-27.30588053323757
3967,-1.69963656151796,14.2584323351466,15.6911538304843,-2.0514964504646,1,0,0,1,0,1,0,-7.648638059759129
3968,-0.542977664231245,15.1893892046335,11.6966701078316,-2.00791068478549,0,1,0,1,0,1,0,-5.82529402152227
3969,-3.98355401464053,14.3200549450549,23.8245848785972,-5.08970083568852,0,1,0,1,0,1,0,-4.6809401274710245
3970,-3.56874167827971,14.0587189724561,12.1412810275439,-5.86437253832668,0,1,0,1,0,1,0,-2.070346136469743
3971,-3.71779050221727,16.2281884717993,3.78688824658786,-3.77271051341415,0,1,0,1,0,1,0,-1.0037579700651031
3972,-2.95469058125474,15.506743843248,10.6169491904985,-0.935464374022573,0,1,0,1,0,1,0,-11.349389121944595
3973,-1.44581450493158,12.2970265501,9.05121204516837,-2.84949023697885,0,1,0,1,0,1,0,-3.1764320255277827
3974,-4.41597382897169,12.1923677421061,5.97639391313442,-3.09513813625674,0,1,0,1,0,1,0,-1.9308973137988183
3975,-1.42945010277815,12.6685054278094,4.71282954677189,-2.06175529428627,0,1,0,1,0,1,0,-2.2858336097559815
3976,-3.66789445544802,16.6565061550679,26.538176786533,-2.21603197724579,0,1,0,1,0,1,0,-11.97553873726865
3977,-0.518464299784412,13.1311266710105,15.2185804433577,-0.789123178933551,0,1,0,1,0,1,0,-19.28543077891164
3978,-0.886676921754471,14.6688741351453,24.9707505117384,-1.14000694917041,0,1,0,1,0,1,0,-21.904033593751137
3979,-1.22708692413289,15.8174646981191,16.7207369080469,-1.60540613785074,0,1,0,1,0,1,0,-10.415269079780659
3980,-0.785368640434584,12.4063103033164,25.5862732855328,-3.66505921981967,0,1,0,0,0,1,0,-6.9811350242771
3981,-3.35283316779359,12.5793583910295,8.53219147564627,-1.33829111428153,1,0,1,0,0,1,0,-6.375437589471579
3982,-0.408218377524008,12.5555823388867,6.06841659294165,-0.311688579330649,1,0,1,0,0,1,0,-19.469486517515563
3983,-0.964989340240393,11.9030590802597,13.4052905365272,-1.30776353651538,0,1,0,1,0,1,0,-10.25054618990713
3984,-0.232093401943722,11.3620731418777,7.10867729624448,-0.43330903732555,0,1,0,1,0,1,0,-16.405559736580454
3985,-0.833235964692335,12.5016831448267,8.28419037806046,-0.796551103884482,0,1,0,1,0,1,0,-10.400073940845175
3986,-4.8,16.2678318206301,9.99561951061185,-5.51941252867303,0,1,0,0,0,1,0,-1.8109933726977614
3987,-0.819363967424266,11.9427671553534,19.7715185589323,-0.385037316537051,1,0,0,1,0,1,0,-51.34961654302342
3988,-1.03208300088425,11.229761629437,14.01710490038,-3.0523702512674,0,1,0,1,0,1,0,-4.59220335231607
