,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,AccGapWiden-Widening,ColTime
210,0.0459973032246808,14.6258590065205,21.2781502728526,2.24291047449256,1,0,0,1,0,1,0,1,9.486847787657064
211,1.04239087389485,13.6372937080184,9.18055353348478,1.34486411449546,0,1,0,1,0,1,0,1,6.826380029426959
212,0.606356486538544,13.0808830200542,18.236700210398,1.84622505779399,0,1,1,0,0,1,0,1,9.877831596646507
214,1.10191423632949,8.73325059883538,29.8043055296979,0.728197788005389,0,1,0,1,0,1,0,1,40.928860291288515
215,1.03656016218544,11.6431929712437,10.5904003470374,1.7005199147434,0,1,0,1,0,1,0,1,6.227742618724603
216,4.8,9.46144838684077,16.1561080559545,4.4561080559545,0,1,0,1,0,1,0,1,3.625609579724129
217,2.06541373375029,11.3785513238677,13.7531586214229,0.745146465274757,0,1,0,1,0,1,0,1,18.456986998323494
218,1.09863615837317,10.0232429746621,29.5989338209102,4.14114156350244,1,0,0,1,0,1,0,1,7.147530063153989
219,0.333349329706678,11.7582813473742,21.8920910863004,0.700181256403752,0,1,0,1,0,1,0,1,31.2663198080192
220,0.745726196001272,12.5787682265918,25.6212317734082,0.206132979959946,0,1,0,1,0,1,0,1,124.29467510917806
221,1.08045470861688,12.0296278427006,5.90694367504493,0.740027114299224,0,1,0,1,0,1,0,1,7.98206384726669
222,0.256707952287144,12.3751709241678,13.3684748589732,0.949323498425301,1,0,0,1,0,1,0,1,14.082106764604774
223,0.929105592816533,11.7789150925778,11.6542233163875,1.00864155714302,0,1,0,1,0,1,0,1,11.554375520078827
224,0.818380724883255,9.9512956683126,13.1774219430047,2.73282933153012,0,1,0,1,0,1,0,1,4.821897141899681
225,0.967400959659903,11.2335991058708,18.5748220748263,1.96569161158356,1,0,1,0,0,1,0,1,9.449509763061172
227,1.86853198951698,8.97365847962553,24.1709401709402,4.68597387388505,0,0,1,0,0,1,0,1,5.158146592674137
228,1.8065215316698,13.154205120354,16.2912119005548,1.57048661665092,1,0,0,1,0,1,0,1,10.37335290083273
229,1.08090919940281,15.1815390179117,16.9686184761728,0.498588838474717,0,1,1,0,0,1,0,1,34.033289890891254
230,0.45212010387408,12.1524735348648,18.0661781155551,3.21381925636022,0,1,0,1,0,1,0,1,5.621404526655234
231,2.86057391475697,10.7302392261995,15.804083577728,3.94602292251534,0,1,0,1,0,1,0,1,4.005066338452464
232,0.416976819983802,13.7608461719958,17.0142923457703,2.30958077327826,0,1,0,1,0,1,0,1,7.3668314798187
233,1.32435701700177,13.8993888885537,26.3921549741843,3.48568684674167,0,1,0,1,0,1,0,1,7.571579471877976
234,1.17093629459035,10.2840926385467,23.85825463758,2.18941253584884,0,1,0,1,0,1,0,1,10.897103331113478
235,0.967907542469462,9.84012718085361,28.2,3.03076140364593,0,1,0,1,0,1,0,1,9.304592557525678
236,0.780016825456471,11.2528262507734,24.3554678839384,1.3517673879655,0,1,0,1,0,1,0,1,18.0174992389741
237,0.401829246118126,10.6531049918327,27.4841837262124,1.63580138121293,0,1,0,1,0,1,0,1,16.801663112567592
238,0.557329401326051,11.9444002084185,6.90059585969014,1.77089843528305,0,1,0,1,0,1,0,1,3.8966638188864797
239,1.13426005092293,18.5173425417929,13.6849359260491,1.08874721133463,0,1,0,1,0,1,0,1,12.569433734092929
240,0.220165735716499,9.73656789334432,23.8316382591354,1.71846103979273,0,1,0,1,0,1,0,1,13.86801196378
241,4.8,11.7869360318808,10.7942609759373,2.759205896732,0,1,0,1,0,1,0,1,3.9120897025923327
242,2.85178109753497,11.5207591947229,19.3714965768361,1.69307921295341,1,0,0,1,0,1,0,1,11.441577233143411
243,1.35712562558108,11.2345068704421,11.7768280258083,0.0274988642323066,0,1,0,1,0,1,0,1,428.26597950807303
244,0.541408261474231,13.7558090993205,9.79721736079472,1.89654311136098,1,0,0,1,0,1,0,1,5.165828976998118
245,0.380477506108644,13.4542903866592,12.0347678927678,0.865039802738302,0,1,0,1,0,1,0,1,13.91238629097931
246,0.513404291090438,14.47731599435,12.3893506723167,1.16469700988756,0,1,0,1,0,1,0,1,10.63740231763175
247,1.96381143419167,15.1248976753967,14.7623933201146,2.31836730457552,0,1,0,1,0,1,0,1,6.367581742107733
248,0.5023825007749,10.0415048821025,18.4444613288556,6.192402397209,0,0,0,1,0,1,0,1,2.9785631077800705
